10 100
1 4000 50
2 1000 80
3 3000 40
4 1000 90
5 2000 50
6 1000 90
7 2000 10
8 4000 90
9 2000 60
10 4000 30
11 1000 90
12 2000 60
13 4000 50
14 1000 70
15 1000 20
16 2000 20
17 2000 30
18 4000 10
19 1000 40
20 2000 80
21 3000 90
22 4000 60
23 1000 90
24 3000 30
25 3000 50
26 1000 50
27 1000 90
28 3000 30
29 4000 80
30 3000 100
31 3000 50
32 1000 80
33 4000 40
34 2000 40
35 4000 80
36 4000 90
37 1000 80
38 4000 70
39 4000 20
40 1000 30
41 2000 50
42 3000 20
43 2000 80
44 2000 100
45 1000 50
46 1000 90
47 2000 20
