10 100
1 4000 100
2 2000 20
3 3000 70
4 1000 50
5 4000 10
6 2000 30
7 1000 40
8 1000 90
9 1000 20
10 4000 10
11 4000 60
12 2000 40
13 4000 60
14 1000 50
15 1000 50
16 4000 80
17 4000 60
18 4000 30
19 2000 20
20 2000 20
21 2000 20
22 4000 90
23 2000 40
24 2000 20
25 1000 70
26 4000 60
27 3000 20
28 4000 80
29 4000 50
30 2000 40
31 4000 50
32 4000 80
33 1000 40
34 4000 80
35 3000 80
36 4000 100
37 4000 40
38 3000 30
39 3000 40
40 2000 60
41 3000 100
42 2000 30
43 3000 20
44 3000 80
45 4000 40
46 3000 100
47 4000 80
